Modality,StudyDescription,BodyPartExamined,SeriesDescription,series_count
CT,CT Colonoscopy virtual,ABDOMEN,1.0 Body Prone/Colon Std. Volume CE Vol,2247
CT,CT Head,,Head 0.5,2247
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,5.0 Body Venous/Phase Std. Axial CE,2241
CT,CT Abdomen and Pelvis,ABDOMEN,Topogram,2237
CT,Lower Extremities^1_Extremity (Adult),EXTREMITY,Topogram  0.6  T20f,2234
CT,Thorax^WholebodyStagingDP (Adult),CHEST,Lung 5.0,2233
CT,CT Urogram,ABDOMEN,Topogram,2232
CT,CT Head,,2.5mm Soft,2228
CT,CT Head With Contrast,HEAD,Head  1.0  J30s  2,2227
CT,CT Head,BRAIN,"1mm, iDose",2221
CT,ABDO/PELVIS,,Scout,2220
CT,CT Chest High Resolution,,SCOUT,2220
CT,CHEST,CHEST,1.0 Lung  Std. Volume,2219
CT,Thorax^CTPA_BGH (Adult),,Patient Protocol,2216
CT,Abdomen^01Abdo-Pelvis_VOL,ABDOMEN,Abdo/Pelvis 3.0 B30f,2215
CT,Head^BrainwithBony (Adult),HEAD,Head  5.0 Baseline,2213
CT,Head^HeadRoutineSeqBGH (Adult),,Patient Protocol,2209
CT,,CHEST_ABDO,Body 1.0 CE,2208
CT,Thorax^Ayr_Staging_Chest_for_SC (Adult),ABDOMEN,Chest/Liver p.v.  1.0  3D,2206
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,1.0 Body 60s/Delay Std. Volume CE Vol,2206
CT,,ABDO_PELVIS,5  Portal Ven,2204
CT,ABDO/PELVIS,ABDO_PELVIS,",1.0,Std. Volume,Body,Vol,CE",2202
CT,CT Neck with contrast,,Dose Report,2200
CT,CT Renal Both,,Non_Con 1.0 Body Volume Non_Con /Prone,2200
CT,CT Angiogram pulmonary,CTPA,1   CTA CE,2198
CT,CT,,Patient Protocol,2192
CT,CTPA,CTPA,1.0 CTA Body CTA CE,2188
CT,Thorax^Ayr_CT_PA (Adult),CHEST,CT P.A.  3.0,2183
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,Body 1.0 Port Ven/Ab/Pel,2183
CT,CHEST/ABDOMEN,CHEST_ABDOMEN,2,2182
CT,CT Thorax and abdomen,,SCOUT,2177
CT,CT Abdomen and pelvis with contrast,,2,2176
CT,CT KUB (Urinary tract),ABDOMEN,iDose (5),2176
CT,CT Chest high resolution,,HELICAL /HRCT 2ND RECON,2175
CT,,,,2174
CT,CT Thorax and abdomen with contrast,,1.25MM,2172
CT,CT Cardiac Angiogram Coronary,HEART,Topogram  0.6  T20s,2172
CT,CT Chest/Abdo With Contrast,CHEST_ABDO,1.0 Body Volume Arterial  /Phase CE,2169
CT,CT urinary tract with contrast,,Dose Report,2167
CT,CT Thorax and abdomen,,1.25mm C.A.P DMPR,2166
CT,Chest,CHEST,2.0  Smooth,2163
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Venous Abdo/Pelvis,2162
CT,CT Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,1.0 Body Venous/Phase Std. Volume CE,2160
CT,CT Abdomen and pelvis with contrast,ABDOMEN,Port_Ven 1.0 Body Std. Volume Port_Ven/Phase CE,2155
CT,Head^BrainwithBony (Adult),HEAD,Head  1.0,2153
CT,CT Head,BRAIN,5,2151
CT,CHEST,CHEST,2,2146
CT,CT Chest high resolution,CHEST,5,2145
CT,CTPA,CTPA,Body 0.5  CE,2145
CT,CT Abdomen and Pelvis,,Dose Report,2142
CT,CT Angiogram Lower Limbs,,Scout,2139
CT,CT Angiogram Pulmonary,,Scouts,2134
CT,CT Thorax and abdomen with contrast,CHEST_ABDO,2,2130
CT,CT Urogram,,Axial 1 5,2128
CT,CT Thorax & abdo & pelvis with contrast,,KEY_IMAGES,2127
CT,CAP,,Scout,2125
CT,CT Renal Both,,1.25 renal stone,2124
CT,CT Guided drainage,,1.25 ABDO/PELVIS,2116
CT,CT Thorax,,SCOUT,2115
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5 Port Ven/CAP,2114
CT,CT Abdomen and pelvis,ABDO_PELVIS,Body 1.0 Venous/Phase CE,2114
CT,CT Angiogram pulmonary,,Recon 2: Helical 1.25mm,2114
CT,Chest/Abdo,CHEST_ABDO,5.0 Body Venous/Phase/Sagittal Std. Volume CE,2112
CT,CT Thorax abdomen and pelvis,,Dose Report,2111
CT,CT Angiogram Pulmonary,,Smart Prep Series,2106
CT,CHEST,CHEST,1.0 Body  Std. Volume,2104
CT,CT Chest high resoluti,,1.25mm HRCT INSP,2100
CT,,CTPA,Lung 10.0 CE,2099
CT,CT Renal Both,,1.25 RENAL STONE,2096
CT,PET^1_PETCT_AC_WholeBody_CRC (Adult),,Patient Protocol,2093
CT,CT Abdomen and pelvis with contrast,ABDO_PELVIS,5 Venous/Phase CE,2092
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,KEY_IMAGES,2090
CT,CT Abdomen With Cont,ABDOMEN,Abdomen  1.0  B20f,2087
CT,CT Chest With Contrast,,Scouts,2086
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO,1.0 Body Volume Venous/Phase CE,2086
CT,CT Chest and abdomen,CHEST,"Lung, iDose (3)",2084
CT,CT Thorax,CHEST,",Std. Volume,Vol.,Body,Arterial",2082
CT,CT Neck With Contrast,,Patient Protocol,2079
CT,CT Abdomen With Cont,,Patient Protocol,2078
CT,,ABDO_PELVIS,2,2077
CT,CT Abdomen and Pelvis,ABDOMEN_PELVIS,1.0 Body Venous/Phase Std. Volume CE,2077
CT,Chest/Abdo,CHEST_ABDO,10.0 Body Axial Arterial /Phase CE,2076
CT,CT Chest/Abdo/Pelvis/,,Scouts,2074
CT,CT Thorax abdomen and,,SCOUTS,2074
CT,CT Colonoscopy virtual,,Patient Protocol,2073
CT,CT Thorax and abdomen with contrast,CHEST,Topogram  0.6  T20f,2069
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO,5   Venous/Phase CE,2068
CT,Abdomen^Ayr_CT_Urogram (Adult),,Patient Protocol,2065
CT,CT Head,,1.25,2059
CT,CT Chest/Abdo/Pelvis/ With Contrast,ABDOMEN,AbdoPelvis  1.0  I26f  3,2058
CT,CT Angiogram pulmonary,,4MLS + 100MLS CONTRAST,2053
CT,CT KUB,ABDOMEN,Topogram  0.6,2052
CT,CT Thorax abdomen pelvis with contrast,CAP,Thin Chest  1.0 Body Volume FC7 PORT_VEN/Phase CE,2047
CT,CT Chest/Abdo/Pelvis,,Bone Plus ( Hi Res Lungs),2046
CT,CT Thorax abdomen pelv,,1.25mm C.A.P DMPR,2046
CT,CT Thorax abdomen pelvis with contrast,ABDOMEN,Topogram  0.6  T20f,2044
CT,C/A/P,,Scouts,2043
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,5  60s/Delay  CE,2040
CT,CT Thorax abdomen pelvis with contrast,CHEST,Chap  1.0  I31s  3,2038
CT,CT Thorax & abdo & pel,,KEY_IMAGES,2036
CT,CT Multi Area,CHEST,iDose,2035
CT,CT Abdomen and pelvis with contrast,ABDOMEN,1.0 Body Port Ven/Phase Std. Volume CE Vol,2034
CT,CT Colonoscopy (Virtual),ABDOMEN,Colo_supine  1.0  I26f  3,2026
CT,CT,,CHEST ONLY,2024
CT,CT Chest/Abdo/Pelvis,CHEST_ABDOMEN,2,2024
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,2,2022
CT,CT Colonoscopy (Virtual),,Supine Colon 1.25mm,2021
CT,CT Abdomen and pelvis with contrast,ABDOMEN_PELVIS,5 PORTAL VEN CE,2019
CT,CT Chest high resolution,CHEST,2.0   Sharp  Scano,2018
CT,Thorax^7_Singlerun_Thorax_Abdo_SAFIRE (Adult),ABDOMEN,Abdomen  1.0  I70f  3,2015
CT,CT Head With Contrast,,Scout,2014
CT,CT Chest high resoluti,,PRONE SCOUT,2013
CT,CT Chest high resolution,CHEST,ThorHR  1.0  B31f 3D,2013
CT,CT Angiogram Pulmonary,,CTPA 1mm,2012
CT,CT HeadAcute Stroke,,Exam Summary,2012
CT,Thorax^DynChest_Abdomen (Adult),CHEST,Thorax  1.5  B31f,2010
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,5   Venous/Phase CE,2002
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,2.0    Sharp,2001
CT,CT Head,HEAD,Sharp,2000
CT,CT Chest high resoluti,,AXIAL 1.25/10mm,2000
CT,ABDO/PELVIS,,Scouts,1997
CT,Head^Head (Adult),HEAD,HeadSeq  2.4  H31s,1994
CT,Chest/Abdo,CHEST_ABDO,5.0 Body Venous/Phase Std. Axial CE,1989
CT,Thorax^WholebodyStagingDP (Adult),CHEST,Abdopelvis  5.0,1988
CT,CT Temporal bones,,Dose Report,1987
CT,CT Thorax abdomen and,,Recon 2:  CAP (DMPR) 1.25MM,1983
CT,ABDO/PELVIS,,LIVER PELVIS 70 sec,1981
CT,CT Head,,SAGITTAL  5mm,1981
CT,CT Renal Both,,SCOUT,1980
CT,Abdomen^AbdoPelvisDP (Adult),ABDOMEN,Lungs 1.0,1975
CT,CTPA,CTPA,2 CTA CE,1975
CT,CT Urinary tract,,Scout Prone,1970
CT,CT Chest/Abdo With Contrast,CHEST_ABDO,Body 1.0 CE,1968
CT,CT Sinuses,,Helical Sinuses SS40,1965
CT,NM Bone Whole Body,,CTCT STD 1.25mTomo CT Bone LD,1964
CT,CTPA,CTPA,3.0 CTA CTA/Pulmonary Body CE,1960
CT,CT Chest/Abdo/Pelvis,,1.25mm Axials Std Algorithm,1959
CT,CT Thorax and abdomen,,Recon 2: 1.25MM,1953
CT,CT Stone Search KUB,,Dose Report,1949
CT,CT KUB,ABDOMEN,Abdomen  1.0  B20f,1947
CT,CT Abdomen and pelvis with contrast,ABDOMEN,Abdomen  1.0  B20f,1947
CT,CT Head/Neck,BRAIN,"1mm, iDose",1946
CT,HRCT,,Dose Report,1944
CT,Thorax^CTPA (Adult),CHEST,Vascular 1.0s,1944
CT,CHEST/ABDO,,Lung,1937
CT,Head^RoutineSpiralHeadPostContrast (Adult),HEAD,Topogram,1931
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO,10.0 Body Axial Arterial  /Phase CE,1930
CT,CT Chest high resolution,,HRCT 1.25MM,1929
CT,CT Sinuses,,Sinus Scout,1927
CT,Abdomen^Abdomen_With_IV_BGH (Adult),ABDOMEN,Abdomen  1.0  I30f  3,1925
CT,Chest/Abdo,CHEST_ABDO,5.0 Body Arterial /Phase Std. Axial CE,1925
CT,CT Sinuses,HEAD,Sinus  3.0  coronal,1924
CT,CT Head,,AXIAL 5mm,1922
CT,Chest/Abdo,CHEST_ABDO,2.0   Sharp,1921
CT,Abdomen^AbdoPelvisDP (Adult),ABDOMEN,Topogram,1920
CT,CT Head,HEAD,5.0 Head  Brain,1919
CT,CT Head/Neck,HEAD,",Brain,,Head,",1917
CT,CT Abdomen with contrast,ABDOMEN,Topogram,1916
CT,Thorax^Chest_Liver_All_In_One_With_IV_BGH (Adult),ABDOMEN,Topogram  0.6  T20f,1910
CT,CT Angiogram pulmonary,,KEY_IMAGES,1900
CT,CT Spine cervical,NECK,2,1897
CT,CT Chest high resolution,CHEST,1.0 Body  Std. Volume,1894
CT,Thorax^CAP1phaseNW (Adult),CHEST,Topogram  0.6  T20s,1893
CT,CT Abdomen and pelvis with contrast,ABDOMEN,5  Venous/Phase  CE,1893
CT,CT Chest/Abdo/Pelvis,ABDOMEN,Abdo/pel. ven  1.0  3D,1890
CT,HRCT,HRCT,1.0 Lung Volume,1889
CT,CT KUB,,KUB,1885
CT,CT Thorax with contrast,CHEST,2 CE,1882
CT,CT Chest High Resolution,CHEST,ThorHR  1.0  I31f  3,1881
CT,CT Head,HEAD,Neck 1.0,1877
CT,,CHEST_ABDO_PELVI,2,1876
CT,CT Thorax abdomen and,,CAP (DMPR) 1.25MM,1871
CT,CT Thorax,CHEST,",Std. Volume,Vol.,Body,Port-Ven",1871
CT,CT Colonoscopy virtual,ABDOMEN,2,1867
CT,ABDOMEN,ABDOMEN,1.0 Body Prone/Abdomen/Pe Std. Volume CE,1866
CT,CT Head,,Smart Prep Series,1863
CT,Neck^Dyn_NeckChest (Adult),CHEST,Topogram  0.6  T20s,1855
CT,CT Thorax abdomen pelvis with contrast,CHEST,5 CE,1850
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO,1.0 Body Volume Arterial  /Phase CE,1848
CT,CT Chest high resolution,HRCT,2,1847
CT,,CTPA,CTA 1.0 CE,1843
CT,CT Neck,,Dose Report,1840
CT,CT Colonoscopy virtual,,SCOUT supine,1839
CT,CT Chest high resolution,CHEST,Topogram,1837
CT,CT Abdomen and pelvis,ABDOMEN,2,1833
CT,CT Chest,CHEST,Topogram  0.6  T20f,1831
CT,CT Chest high resolution,CHEST,2.0   Sharp,1831
CT,CT Abdomen & pelvis,,SCOUT,1831
CT,CT Chest high resolution,,Recon 2: 1.25mm HRCT INSP,1830
CT,Thorax^Ayr_CT_PA (Adult),CHEST,CT P.A.  0.75 3D,1826
CT,CT Thorax and abdomen with contrast,CHEST,5  Portal Ven/Phase  CE,1824
CT,Thorax^VenousChestAbdo (Adult),CHEST,Thorax  1.5,1823
CT,NM Whole Body PET FDG,,Dose Report,1822
CT,CT Chest/Abdo/Pelvis/ With Contrast,,1.25mm chest recon,1821
CT,CT Guided Biopsy,CHEST,Thorax LCAD  1.5  I31f  3,1816
CT,CT Colonoscopy (Virtual),,Prone Scouts,1814
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO_PELV,1.0 Body Volume Arterial  /Phase CE,1814
CT,CT Angiogram Pulmonary,,SCOUT,1813
CT,CT Chest high resolution,,Hi Res,1805
CT,PET FDG Whole body,,Patient Protocol,1804
CT,CHEST_ABDO,CHEST_ABDO,5.0 Lung Axial Arterial  /Phase CE,1804
CT,Head^QM_Head_SAFIRE (Adult),HEAD,Topogram  0.6  T20f,1803
CT,CT Angiogram Pulmonary,,,1799
CT,CT Thorax & abdo & pel,,CORONAL 3mm,1797
CT,Abdomen^Abdomen (Adult),ABDOMEN,Topogram,1797
CT,CT Pelvis,,Dose Report,1794
CT,Abdomen^AbdoPelvisDP (Adult),ABDOMEN,Art Abdo  1.0,1791
CT,CT Head With Contrast,HEAD,Topogram  0.6  T20f,1791
CT,CT Chest/Abdo/Pelvis,CHEST_ABDOMEN,Lung 2.0 Venous CE,1787
CT,CT Abdomen with contrast,ABDOMEN,Abdomen  1.0  B20f,1786
CT,Abdomen^Abdomen_With_IV_BGH (Adult),,Patient Protocol,1785
CT,Thorax^2_ChestAbdomen (Adult),ABDOMEN,Abdomen  5.0  B40f,1784
CT,CT Angiogram Pulmonary,CTPA,10.0 Lung Axial CTA CE,1783
CT,CT Abdomen and pelvis,,SCOUT,1782
CT,HEAD,HEAD,/2.0///Sharp/,1778
CT,Chest/Abdo,CHEST_ABDO,1.0 Body Arterial /Phase Std. Volume CE,1777
CT,,CTPA,2 CE,1777
CT,Thorax^ChestAbdo_SAFIRE_LCAD (Adult),CHEST,Thorax LCAD  1.5  I31f  3,1777
CT,Chest/Abdo,CHEST_ABDO,1.0 Body Venous/Phase Std. Volume CE,1774
CT,ABDO/PELVIS,,ABDO/PELVIS SCOUT,1774
CT,Thorax^CTPA_BGH (Adult),CHEST,CTPA  1.0  I26f  3,1773
CT,CT Chest/Abdo/Pelvis/ With Contrast,C_A_P,2.0    Sharp,1770
CT,CT Abdomen / Pelvis,ABDOMEN,",Sharp,,,",1769
CT,HEAD,HEAD,/0.5/Head//Brain/,1769
CT,CT Head With Contrast,HEAD,5mm Brain MPR + C,1767
CT,CT Chest high resolution,CHEST,1.0 Body HRCT Insp Std. Axial  Axial,1765
CT,CT Abdomen and pelvis with contrast,,ABDO PELVIS,1764
CT,CT Chest high resolution,CHEST,Body 1.0,1764
CT,PET FDG Whole body,ABDOMEN,CT WB 1.5mm,1762
CT,CT Head,,0.625mm stnd recon,1755
CT,Thorax^1_CTPA (Adult),CHEST,Embolism  1.0  B20f,1754
CT,Head^Head_Seq_BGH (Adult),HEAD,Topogram  0.6  T20f,1753
CT,PET^PETCT_AC_WB_SMI_REDACTED (Adult),,Patient Protocol,1752
CT,CT HEAD,,Scout,1750
CT,CT Chest,,Exam Summary,1748
CT,CT Chest/Abdo With Con,,Scouts,1748
CT,PET FDG Whole body,ABDOMEN,Range-AC CT WB-Tra-<ALPHA Range>,1744
CT,CT Urinary tract,ABDOMEN,1.0 Body Non C/Phase Std. Volume  Vol,1741
CT,Thorax^CTPA (Adult),,Patient Protocol,1739
CT,CTA CARDIAC,CTA CARDIAC,Sft Tissue 8.0  CE,1739
CT,Thorax^Chest_Liver_All_In_One_With_IV_BGH (Adult),,Patient Protocol,1731
CT,Abdomen^7_Colon (Adult),,Patient Protocol,1730
CT,HEAD,HEAD,1.0 Head Brain Volume AIDR,1729
CT,CT Thorax and abdomen,CHEST_ABDO,2.0   Sharp,1726
CT,CT Head,,0.625mm standard recon,1723
CT,Head^HeadSeq,HEAD,RoutineSeq 5.0 H40s,1723
CT,CT Thorax,CHEST,2.0   Sharp,1717
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO_PELV,1.0 Body Volume Venous/Phase CE,1715
CT,CT Neck thorax abdomen pelvis with Cont,,SCOUT,1713
CT,Thorax^3_Thorax_Abdo_SAFIRE (Adult),ABDOMEN,Abdomen  5.0  I30f  3,1709
CT,CT Chest High Resolution,,Chest wit HRCT,1708
CT,CT Colonography Minimal Preparation,,Patient Protocol,1705
CT,CT Thorax abdomen pelvis with contrast,CHEST_ABDO_PELVI,Body 1.0 PORTAL VEN CE,1703
CT,CT Neck With Contrast,,Dose Report,1702
CT,CT Abdomen and pelvis with contrast,ABDOMEN,2.0   Sharp  Scano,1702
CT,Thorax^VenousChestAbdo (Adult),CHEST,Thorax  1.5 lung,1701
CT,CT Urogram,,2,1701
CT,CT Angiogram Lower Limbs,PERIPHERAL,CTA 1.0 CE,1700
CT,CT Colonoscopy virtual,,SCOUT SUPINE,1699
CT,CT Thorax & abdo & pel,,AXIAL 5mm,1698
CT,CT Chest High Resolution,,STD RECONS,1695
CT,Thorax^Ayr_CT_PA (Adult),,Patient Protocol,1691
CT,CT Renal With Contrast,,Dose Report,1690
CT,Head^Head (Adult),,Patient Protocol,1688
CT,CT Sinuses,HEAD,2.0 Bone Coronal Sharp  Coronal,1688
CT,CT Angiogram pulmonary,,SCOUTS,1683
CT,NECK,NECK,",5.0,Std. Axial,Body,Axial,CE",1679
CT,CH/AB/PEL,CH_AB_PEL,",3,,,,CE",1678
CT,Head^HeadSeq,HEAD,ThinSliceSeq 2.5 H40s,1677
CT,CHEST/ABDO,CHEST_ABDO,Body 1.0 Venous/Phase CE,1673
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,Lung 1.0 Chest/Arterial CE,1672
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Chest  Abdo Pelvis 1.25mm,1672
CT,CT Thorax abdomen pelvis with contrast,ABDOMEN,iDose (4),1670
CT,Head,HEAD,1.0 Head,1669
CT,CT Sinuses,HEAD,1.0 Head  Brain  Vol,1668
CT,CT Abdomen  pelvis with contrast,ABDOMEN,iDose (4),1665
CT,CT Angiogram Lower Limbs,,Dose Report,1664
CT,CT Angio aortic arch and carotid Both,NECK,2,1663
CT,CT Thorax abdomen pelvis with contrast,CHEST_ABDO_PELVI,5 Port Ven/CAP,1663
CT,CT Thorax abdomen and,,1.25mm C.A.P DMPR,1660
CT,CT Chest high resolution,,SCOUTS,1659
CT,CT Colonoscopy (Virtual),COLON,5   Prone /Delayed CE,1659
CT,CT Sinuses,SINUSES,2,1659
CT,CT Angiogram pulmonary,,1.25,1657
CT,CT Urinary tract,ABDOMEN,Topogram  0.6  T20s,1655
CT,Thorax^2_ChestAbdomen (Adult),CHEST,Topogram  1.0  T20s,1655
CT,Thorax^ThoraxAbdoPelvisCombined+Contrast,ABDOMEN,ThorAbdPelv 3.0 B31f,1654
CT,CT Abdomen and Pelvis,ABDOMEN,Abdo/pel VEN  1.0  3D,1650
CT,NM Whole Body PET FDG,,CT SCOUT HEAD IN,1649
CT,CT Head,,2.5mm stnd recon,1649
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO_PELV,5   Venous/Phase CE,1648
CT,NM Cardiac Exercise Stress MIBI/TF,,CTAC 5mmSGATE,1648
CT,CT Guided Biopsy,CHEST,3.0 Body Axial,1646
CT,CT Chest high resoluti,,Prone Inspiration,1646
CT,Thorax^2_ChestAbdomen (Adult),ABDOMEN,Abdomen  2.0  B20f,1644
CT,CT Pelvis,,Patient Protocol,1643
CT,CT Chest/Abdo With Con,,Axial 1 5,1641
CT,Thorax^TAP_All_In_One_With_IV_BGH (Adult),,Patient Protocol,1639
CT,CT Abdomen,,Dose Report,1639
CT,CT Chest High Resolution,CHEST,Thorax  1.0  I70f  3,1638
CT,Abdomen^1_KUB (Adult),,Patient Protocol,1638
CT,ABDO/PELVIS,ABDO_PELVIS,",5,,,,CE",1636
CT,CT Spine cervical,NECK,2,1635
CT,Thorax^ChestAbdo_SAFIRE_LCAD (Adult),CHEST,Topogram  0.6  T20f,1634
CT,CT Shoulder Rt,,Individually captured images,1624
CT,CT Neck with contrast,,Soft Tissue Neck 0.625mm,1624
CT,CT Angiogram Pulmonary,,Exam Summary,1623
CT,CT Colon,ABDOMEN,2.0   Sharp,1621
CT,Chest/Abdo,CHEST_ABDO,5   Venous/Phase CE,1616
CT,Abdomen^AbdomenRoutineBGH (Adult),ABDOMEN,AbdRoutine  2.0  B10f,1613
CT,CARDIAC,CARDIAC,0.5 CE,1608
CT,CT Chest/Abdo/Pelvis/ With Contrast,,1.25mm stnd abdo/pelvis recon,1606
CT,Abdomen^01_Urogram_Plain_VOL,,Patient Protocol,1606
CT,CT Chest and abdomen,,Exam Summary,1602
CT,Thorax^Thorax_With_IV_BGH (Adult),,Patient Protocol,1601
CT,CT Abdomen and pelvis,ABDO_PELVIS,5 Venous/Phase CE,1598
CT,CT Angiogram Pulmonary,CHEST,"1mm Lung, iDose (4)",1595
CT,Colonography,COLONOGRAPHY,5.0 Body 65s/Colon/Coronal Std. Volume CE,1591
CT,CT Urinary tract,,Recon 2: HELICAL 2.5MM UNENHANC,1586
CT,CT Angiogram pulmonary,CTPA,2 CTA CE,1584
CT,CT Thorax abdomen pelvis with contrast,CHEST_ABDO_PELVI,Body 1.0 Venous/Phase CE,1581
CT,Cardiac^Retrospective_Cardiac (Adult),,Patient Protocol,1579
CT,CT Head with contrast,,,1578
CT,CT Sinuses,HEAD,Sinus  1.5,1575
CT,CT Thorax & abdomen wi,,1.25mm chest abdomen,1574
CT,CT Neck with contrast,,Patient Protocol,1574
CT,CT Chest With Contrast,CHEST,Thorax  1.0  I40f  3,1570
CT,CT Chest With Contrast,CHEST,Topogram  0.6  T20s,1568
CT,CT Chest,CHEST,iDose (3),1568
CT,CT Thorax abdomen pelv,,LUNG 5mm,1563
CT,CT Head,,Recon 3: 2.5/5mm HEAD,1562
CT,CT Angiogram Lower Limbs,,Patient Protocol,1561
CT,CT Guided biopsy,,1.25 ABDO/PELVIS,1556
CT,Thorax^01Chest-Abdo_VOL,CHEST,Topogram,1554
CT,CT Thorax with contrast,CHEST,Port_Ven 1.0 Body Non Hybrid Volume Port_Ven/Phase CE,1553
CT,Abdomen^1_KUB (Adult),ABDOMEN,Topogram  1.0  T20s,1552
CT,Abdomen^AbdomenRoutineBGH (Adult),ABDOMEN,Topogram  1.0  T20s,1550
CT,CT Urogram,,Urogram,1550
CT,Thorax^Ayr_CT_PA (Adult),CHEST,Topogram,1546
CT,Abdomen^Colonography_Safire (Adult),ABDOMEN,Topogram  0.6  T20f,1545
CT,Thorax^1_CTPA (Adult),,Patient Protocol,1544
CT,CT Thorax and abdomen with contrast,,2,1541
CT,Chest,CHEST,5.0 Lung Axial,1541
CT,Thorax^Ayr_HR_Chest (Adult),CHEST,Topogram,1539
CT,CT Chest high resoluti,,Recon 2: AXIAL 1.25/10mm,1539
CT,CT Spine Cervical,,Scout,1538
CT,CT Stone Search KUB,,1.25mm KUB,1538
CT,Thorax^PulmAngio (Adult),CHEST,PulmAngio 1.0  mm,1536
CT,Thorax^DynChest_Abdomen (Adult),ABDOMEN,Abdomen  1.5  I26f  3,1533
CT,CT Angiogram Pulmonary,CHEST,KEY_IMAGES,1531
CT,Thorax^TAP_All_In_One_With_IV_BGH (Adult),CHEST,TAP  1.0  I30f  3,1529
CT,HEAD,HEAD,Head 4.0,1529
CT,C.A.P,C_A_P,2.0    Sharp,1527
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Arterial Chest,1526
CT,CHEST,,Scout,1525
CT,CT Thorax abdomen pelvis with contrast,,5  60s/Delay  CE,1524
CT,Thorax^CTPA (Adult),CHEST,Topogram  0.6,1523
CT,CT Urogram,ABDOMEN,UROGRAM  1.0  3D,1523
CT,CT Head,,SAG 3mm,1522
CT,Abdomen^UROGRAM_SAFIRE (Adult),ABDOMEN,Topogram  0.6  T20f,1521
CT,Abdomen^1_CTUrography (Adult),ABDOMEN,ADBO 2MM,1519
CT,Thorax^Ayr_HR_Chest (Adult),CHEST,HR Chest  1.0,1519
CT,CT Abdomen and pelvis with contrast,ABDOMEN_PELVIS,Body 1.0 Port Ven/Ab/Pel CE,1518
CT,Abdomen^Ayr_Abdo_Pel_JPC (Adult),ABDOMEN,Topogram,1516
CT,Head^HeadSeq,HEAD,ThinSliceSeq 5.0 H40s,1514
CT,Thorax^SMI_REDACTED_CAP_Split_JPC_Venous (Adult),CHEST,Chest Ven  1.0 3D,1513
CT,CT Colonoscopy (Virtual),COLON,2,1510
CT,CT Angiogram Pulmonary,CTPA,1.0 CTA CTA/Pulmonary Body CE,1509
CT,CT Angio aortic arch and carotid Both,,Dose Report,1509
CT,Abdomen^Ayr_KUB (Adult),,Patient Protocol,1508
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Topogram,1504
CT,Head^Ayr_Head_Spiral_Pre_and_Post (Adult),HEAD,Head  5.0  True Axial,1504
CT,Thorax^VenousChestAbdo (Adult),,Patient Protocol,1502
CT,Thorax^QM_Alternative_CAP_Thorabdo_Single_Run (Adult),,Patient Protocol,1502
CT,CT Thorax and abdomen with contrast,CHEST,1.0 Body Portal Ven/Phase Std. Volume CE,1496
CT,Colonography,COLONOGRAPHY,5.0 Body Prone/Colon Std. Axial CE,1495
CT,CT Chest/Abdo/Pelvis/ With Contrast,,Axial CAP,1493
CT,CT Head,,0.625mm + DMPR,1491
CT,CT Thorax abdomen and pelvis,CHEST_ABDO_PELVI,Body 1.0 PORTAL VEN CE,1491
CT,CT Thorax & abdo & pel,,SCOUTS,1490
CT,CT Chest/Abdo/Pelvis/ With Contrast,,C.A.P,1489
CT,CT Spine cervical,C SPINE,2,1487
CT,ABDOMEN,ABDOMEN,2.0   Sharp CE,1486
CT,CT Head,,True axials,1483
CT,CAP,,Axial CAP,1483
CT,CTPA,CTPA,Body 8.0,1481
CT,CT Chest high resolution,,1.25mm Chest,1480
CT,CT Sinuses,HEAD,3,1479
CT,Abdomen^Ayr_Abdo_Pel (Adult),ABDOMEN,Abdo/pel VEN  5.0,1479
CT,Thorax^CTPA_SAFIRE (Adult),ABDOMEN,PE  1.0  I26f  3,1478
CT,,CHEST_ABDO_PELVI,5  Portal Ven CE,1477
CT,Chest/Abdo,CHEST_ABDO,2,1476
CT,Abdomen^1_Colon (Adult),ABDOMEN,COLORoutineSUPINE  1.0  B20f,1474
CT,CT Chest high resolution,,PRONE SCOUT,1473
